group,module,disorder,status,variable
Psychosis,psych,Schizoaffective disorder,present,mh_p_ksads__psych__schizaffct__pres_dx
Psychosis,psych,Schizophrenia,present,mh_p_ksads__psych__schiz__pres_dx
Psychosis,psych,Schizophreniform disorder,present,mh_p_ksads__psych__schizform__pres_dx
Psychosis,psych,Unspecified schizophrenia spectrum and other psychotic disorder,past,mh_p_ksads__psych__schiz__oth__past_dx
Psychosis,psych,Unspecified schizophrenia spectrum and other psychotic disorder,present,mh_p_ksads__psych__schiz__oth__pres_dx
ASD,asd,Autism spectrum disorder,unknown,mh_p_ksads__asd_dx
ASD,asd,"Other specified neurodevelopmental disorder, autism spectrum disorder (impairment does not meet full criteria)",unknown,mh_p_ksads__asd__oth_dx
Eating disorders,ed,"Anorexia nervosa, binge eating/purging subtype",partial_remission,mh_p_ksads__ed__an__bingeprg__partrem_dx
Eating disorders,ed,"Anorexia nervosa, binge eating/purging subtype",past,mh_p_ksads__ed__an__bingeprg__past_dx
Eating disorders,ed,"Anorexia nervosa, binge eating/purging subtype",present,mh_p_ksads__ed__an__bingeprg__pres_dx
Eating disorders,ed,"Anorexia nervosa, restricting subtype",partial_remission,mh_p_ksads__ed__an__restrict__partrem_dx
Eating disorders,ed,"Anorexia nervosa, restricting subtype",past,mh_p_ksads__ed__an__restrict__past_dx
Eating disorders,ed,"Anorexia nervosa, restricting subtype",present,mh_p_ksads__ed__an__restrict__pres_dx
Eating disorders,ed,Binge eating disorder,partial_remission,mh_p_ksads__ed__binge__partrem_dx
Eating disorders,ed,Binge eating disorder,past,mh_p_ksads__ed__binge__past_dx
Eating disorders,ed,Binge eating disorder,present,mh_p_ksads__ed__binge__pres_dx
Eating disorders,ed,Bulimia nervosa,partial_remission,mh_p_ksads__ed__bulim__partrem_dx
Eating disorders,ed,Bulimia nervosa,past,mh_p_ksads__ed__bulim__past_dx
Eating disorders,ed,Bulimia nervosa,present,mh_p_ksads__ed__bulim__pres_dx
Eating disorders,ed,"Other specified feeding or eating disorder, atypical anorexia nervosa",past,mh_p_ksads__ed__an__oth__past_dx
Eating disorders,ed,"Other specified feeding or eating disorder, atypical anorexia nervosa",present,mh_p_ksads__ed__an__oth__pres_dx
Eating disorders,ed,"Other specified feeding or eating disorder, binge eating disorder (low frequency or limited duration)",past,mh_p_ksads__ed__binge__oth__mindur__past_dx
Eating disorders,ed,"Other specified feeding or eating disorder, binge eating disorder (low frequency or limited duration)",present,mh_p_ksads__ed__binge__oth__mindur__pres_dx
Eating disorders,ed,"Other specified feeding or eating disorder, bulimia nervosa (low frequency or limited duration)",past,mh_p_ksads__ed__bulim__oth__mindur__past_dx
Eating disorders,ed,"Other specified feeding or eating disorder, bulimia nervosa (low frequency or limited duration)",present,mh_p_ksads__ed__bulim__oth__mindur__pres_dx
Tics,tic,Persistent (Chronic) motor or vocal tic disorder,present,mh_p_ksads__tic__perst__pres_dx
Tics,tic,"Persistent (Chronic) motor or vocal tic disorder, no symptoms since X",remission,mh_p_ksads__tic__perst__nosymp__rem_dx
Tics,tic,Provisional tic disorder,present,mh_p_ksads__tic__prov__pres_dx
Tics,tic,Tourette's disorder,present,mh_p_ksads__tic__ts__pres_dx
Tics,tic,"Tourette's disorder, no symptoms since X",remission,mh_p_ksads__tic__ts__nosymp__rem_dx
Tics,tic,Unspecified tic disorder,past,mh_p_ksads__tic__unspec__past_dx
Tics,tic,Unspecified tic disorder,present,mh_p_ksads__tic__unspec__pres_dx
