module,informant,diagnosis_label,status,merged_var,version_note,two_zero_only_flag
bpd,parent,"Bipolar I disorder, current episode manic",present,mh_p_ksads__bpd__bpd1__curmanic__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar I disorder, current episode manic",present,mh_y_ksads__bpd__bpd1__curmanic__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar I disorder, currently depressed",partial_remission,mh_p_ksads__bpd__bpd1__curdep__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar I disorder, currently depressed",partial_remission,mh_y_ksads__bpd__bpd1__curdep__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar I disorder, currently hypomanic",present,mh_p_ksads__bpd__bpd1__curhypo__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar I disorder, currently hypomanic",present,mh_y_ksads__bpd__bpd1__curhypo__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar I disorder, most recent episode manic/depressed/mixed",present,mh_p_ksads__bpd__bpd1__rcnt__manicmix__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar I disorder, most recent episode manic/depressed/mixed",present,mh_y_ksads__bpd__bpd1__rcnt__manicmix__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar I disorder, most recent past episode depressed",present,mh_p_ksads__bpd__bpd1__rcnt__dep__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar I disorder, most recent past episode depressed",present,mh_y_ksads__bpd__bpd1__rcnt__dep__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar I disorder, most recent past episode manic",present,mh_p_ksads__bpd__bpd1__rcnt__manic__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar I disorder, most recent past episode manic",present,mh_y_ksads__bpd__bpd1__rcnt__manic__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar II disorder, currently depressed",partial_remission,mh_p_ksads__bpd__bpd2__curdep__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar II disorder, currently depressed",partial_remission,mh_y_ksads__bpd__bpd2__curdep__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar II disorder, currently depressed",present,mh_p_ksads__bpd__bpd2__curdep__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar II disorder, currently depressed",present,mh_y_ksads__bpd__bpd2__curdep__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar II disorder, currently hypomanic",present,mh_p_ksads__bpd__bpd2__curhypo__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar II disorder, currently hypomanic",present,mh_y_ksads__bpd__bpd2__curhypo__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar II disorder, most recent episode hypomanic",present,mh_p_ksads__bpd__bpd2__rcnt__hypo__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar II disorder, most recent episode hypomanic",present,mh_y_ksads__bpd__bpd2__rcnt__hypo__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Bipolar II disorder, most recent episode hypomanic/depressed/mixed",present,mh_p_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Bipolar II disorder, most recent episode hypomanic/depressed/mixed",present,mh_y_ksads__bpd__bpd2__rcnt__hypomix__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Other specified bipolar and related disorder, meets criteria for bipolar II disorder",unknown,mh_p_ksads__bpd__bpd2__oth__nomdd_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Other specified bipolar and related disorder, meets criteria for bipolar II disorder",unknown,mh_y_ksads__bpd__bpd2__oth__nomdd_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,"Other specified bipolar and related disorder, recurrent manic or hypomanic episodes",unknown,mh_p_ksads__bpd__oth__mindur_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,"Other specified bipolar and related disorder, recurrent manic or hypomanic episodes",unknown,mh_y_ksads__bpd__oth__mindur_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,Unspecified bipolar and related disorder,past,mh_p_ksads__bpd__unspec__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,Unspecified bipolar and related disorder,past,mh_y_ksads__bpd__unspec__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,parent,Unspecified bipolar and related disorder,present,mh_p_ksads__bpd__unspec__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
bpd,youth,Unspecified bipolar and related disorder,present,mh_y_ksads__bpd__unspec__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
cond,parent,"Conduct disorder, adolescent onset",past,mh_p_ksads__cond__onset__adoles__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
cond,youth,"Conduct disorder, adolescent onset",past,mh_y_ksads__cond__onset__adoles__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
cond,parent,"Conduct disorder, adolescent onset",present,mh_p_ksads__cond__onset__adoles__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
cond,youth,"Conduct disorder, adolescent onset",present,mh_y_ksads__cond__onset__adoles__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
cond,parent,"Conduct disorder, childhood onset",past,mh_p_ksads__cond__onset__chld__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
cond,youth,"Conduct disorder, childhood onset",past,mh_y_ksads__cond__onset__chld__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
cond,parent,"Conduct disorder, childhood onset",present,mh_p_ksads__cond__onset__chld__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
cond,youth,"Conduct disorder, childhood onset",present,mh_y_ksads__cond__onset__chld__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,Major depressive disorder,partial_remission,mh_p_ksads__dep__mdd__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,Major depressive disorder,partial_remission,mh_y_ksads__dep__mdd__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,Major depressive disorder,past,mh_p_ksads__dep__mdd__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,Major depressive disorder,past,mh_y_ksads__dep__mdd__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,Major depressive disorder,present,mh_p_ksads__dep__mdd__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,Major depressive disorder,present,mh_y_ksads__dep__mdd__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,"Other specified depressive disorder, persistent depressive disorder",present,mh_p_ksads__dep__pdd__oth__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,"Other specified depressive disorder, persistent depressive disorder",present,mh_y_ksads__dep__pdd__oth__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,Persistent depressive disorder,partial_remission,mh_p_ksads__dep__pdd__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,Persistent depressive disorder,partial_remission,mh_y_ksads__dep__pdd__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,Persistent depressive disorder,past,mh_p_ksads__dep__pdd__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,Persistent depressive disorder,past,mh_y_ksads__dep__pdd__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,Persistent depressive disorder,present,mh_p_ksads__dep__pdd__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,Persistent depressive disorder,present,mh_y_ksads__dep__pdd__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,Unspecified depressive disorder,past,mh_p_ksads__dep__unspec__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,Unspecified depressive disorder,past,mh_y_ksads__dep__unspec__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,parent,Unspecified depressive disorder,present,mh_p_ksads__dep__unspec__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dep,youth,Unspecified depressive disorder,present,mh_y_ksads__dep__unspec__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dmdd,parent,Disruptive mood dysregulation disorder,present,mh_p_ksads__dmdd__dmdd__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
dmdd,youth,Disruptive mood dysregulation disorder,present,mh_y_ksads__dmdd__dmdd__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,"Anorexia nervosa, binge eating/purging subtype",partial_remission,mh_p_ksads__ed__an__bingeprg__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,"Anorexia nervosa, binge eating/purging subtype",partial_remission,mh_y_ksads__ed__an__bingeprg__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,"Anorexia nervosa, binge eating/purging subtype",past,mh_p_ksads__ed__an__bingeprg__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,"Anorexia nervosa, binge eating/purging subtype",past,mh_y_ksads__ed__an__bingeprg__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,"Anorexia nervosa, binge eating/purging subtype",present,mh_p_ksads__ed__an__bingeprg__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,"Anorexia nervosa, binge eating/purging subtype",present,mh_y_ksads__ed__an__bingeprg__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,"Anorexia nervosa, restricting subtype",partial_remission,mh_p_ksads__ed__an__restrict__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,"Anorexia nervosa, restricting subtype",partial_remission,mh_y_ksads__ed__an__restrict__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,"Anorexia nervosa, restricting subtype",past,mh_p_ksads__ed__an__restrict__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,"Anorexia nervosa, restricting subtype",past,mh_y_ksads__ed__an__restrict__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,"Anorexia nervosa, restricting subtype",present,mh_p_ksads__ed__an__restrict__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,"Anorexia nervosa, restricting subtype",present,mh_y_ksads__ed__an__restrict__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,Binge eating disorder,partial_remission,mh_p_ksads__ed__binge__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,Binge eating disorder,partial_remission,mh_y_ksads__ed__binge__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,Binge eating disorder,past,mh_p_ksads__ed__binge__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,Binge eating disorder,past,mh_y_ksads__ed__binge__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,Binge eating disorder,present,mh_p_ksads__ed__binge__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,Binge eating disorder,present,mh_y_ksads__ed__binge__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,Bulimia nervosa,partial_remission,mh_p_ksads__ed__bulim__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,Bulimia nervosa,partial_remission,mh_y_ksads__ed__bulim__partrem_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,Bulimia nervosa,past,mh_p_ksads__ed__bulim__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,Bulimia nervosa,past,mh_y_ksads__ed__bulim__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,Bulimia nervosa,present,mh_p_ksads__ed__bulim__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,Bulimia nervosa,present,mh_y_ksads__ed__bulim__pres_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,parent,"Other specified feeding or eating disorder, atypical anorexia nervosa",past,mh_p_ksads__ed__an__oth__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
ed,youth,"Other specified feeding or eating disorder, atypical anorexia nervosa",past,mh_y_ksads__ed__an__oth__past_dx,Merged in 7.0 BIDS: 1.0 and 2.0 pooled in the same column across waves (ses-00A/01A/02A = 1.0; ses-03A+ = 2.0). Legacy ksads_{V}_{id} item-ids are not exposed.,
